Place,Latitude,Longitude
Aalst,51.39583,5.47778
Aarle,51.51250,5.36250
Aarle-Rixtel,51.50972,5.63889
Abcoven,51.52778,5.08333
Achterbosch,51.51111,5.57222
Achterbroek,51.42917,5.68611
Achterdijk,51.65694,4.61944
Achtereind,51.38194,5.49028
Achterste Brug,51.27917,5.42917
Achterste Diesdonk,51.42917,5.71250
Achterste Heide,51.75972,5.57917
Achterste Heikant,51.34861,5.14028
Achterste Hermalen,51.60417,5.40417
Achterste Rith,51.55417,4.71389
Achtmaal,51.45417,4.58472
Akker,51.50972,4.38472
Almkerk,51.77083,4.95972
Alphen,51.48194,4.95833
Alphen-Oosterwijk,51.50139,4.97500
Alvershool,51.48333,5.56528
Andel,51.78333,5.05833
Anneville,51.54306,4.81806
Arendnest,51.59444,5.69583
Asten,51.40417,5.74861
Baarle-Nassau,51.44722,4.92917
Baarle-Nassau-grens,51.40139,4.93472
Baarschot,51.45833,5.18611
Babyloniënbroek,51.74306,5.02222
Bakel,51.50278,5.74028
Bakelsebrug,51.49306,5.71667
Bakertand,51.53333,5.07917
Balleman,51.50972,4.76250
Bankert,51.49583,5.79444
Barlaque,51.62361,4.48750
Bavel,51.56667,4.83056
Bedaf,51.66111,5.57500
Beek en Donk,51.53472,5.63056
Beemdkant,51.52639,5.60000
Beers,51.72500,5.82778
Behelp,51.37500,5.75833
Bekelaar,51.44583,5.63611
Belgeren,51.44028,5.74583
Belvert,51.60000,5.24722
Bemmer,51.55000,5.62361
Benedeneind,51.82500,5.48611
Benthem,51.49722,5.72361
Berenbroek,51.46667,5.60694
Berg,51.27639,5.54861
Bergeijk,51.31944,5.35833
Bergen op Zoom,51.49444,4.29167
Bergenshuizen,51.63056,5.28333
Berghem,51.77083,5.57361
Berkeind,51.55139,5.11528
Berkeindje,51.41111,5.67639
Berkel-Enschot,51.58472,5.14444
Berkhoek,51.58611,5.68472
Berkt,51.42778,5.37917
Berlicum,51.67778,5.40000
Besselaar,51.61528,5.37222
Best,51.50694,5.39028
Beugen,51.67361,5.93750
Beugt,51.63889,5.51250
Beukelaar,51.61667,5.56250
Biesthoek,51.62778,5.65139
Biest-Houtakker,51.50694,5.15833
Biestraat,51.54583,4.92500
Biezenheuvel,51.40556,5.30417
Biezenmortel,51.62361,5.17778
Bijsterveld,51.45139,5.35000
Binnen-Moerdijk,51.70139,4.66806
Bladel,51.36806,5.22083
Blauwenhoek,51.60000,5.87222
Blauwe Sluis,51.69306,4.69861
Bleijs,51.47917,5.74306
Boeiink,51.52917,4.41528
Boekel,51.60278,5.67500
Boerdonk,51.55833,5.62500
Bokhoven,51.73750,5.23056
Boksheide,51.32500,5.30833
Bokt,51.49028,5.50139
Bolberg,51.56389,4.84306
Bolst,51.60694,5.60139
Boomen,51.41944,5.69306
Boompjesdijk,51.62222,4.31806
Boord,51.46944,5.52222
Borkel,51.29722,5.44028
Borne,51.62083,5.41667
