year;distance;frequency
1938;3.9;134
1937;3.9;132
1926;3.9;118
1927;3.9;116
1921;3.9;106
1922;7.1;106
1925;3.9;106
1939;3.9;104
1928;3.9;100
1936;3.9;98
1930;3.9;98
1921;7.1;94
1920;7.1;92
1920;3.9;92
1935;3.9;90
1941;5.9;90
1919;7.1;90
1927;7.1;86
1931;3.9;84
1929;3.9;84
1923;3.9;82
1925;5.9;80
1933;3.9;80
1939;5.9;78
1932;7.1;78
1924;7.1;78
1933;5.9;76
1930;7.1;76
1932;3.9;76
1928;5.9;76
1924;3.9;74
1930;5.9;74
1928;7.1;72
1941;7.5;72
1941;7.1;72
1929;7.1;72
1936;5.9;70
1919;6.2;70
1926;6.2;68
1940;6.2;68
1934;3.9;68
1929;5.9;68
1925;4.7;68
1907;7.1;68
1935;5.9;68
1931;7;68
1925;6.2;68
1939;5.2;66
1931;5.9;66
1925;7;66
1916;7.1;66
1933;6.2;66
1927;5.9;64
1937;6.2;64
1909;3.9;64
1919;3.9;64
1921;6.2;64
1939;4.7;64
1941;3.9;64
1926;7;62
1917;7.1;62
1893;3.9;62
1938;7.1;62
1941;5.5;62
1923;7.1;62
1934;5.2;62
1912;7.1;62
1935;7.1;62
1917;3.9;62
1913;3.9;62
1926;7.1;60
1914;3.9;60
1912;5.9;60
1924;6.2;60
1931;6.2;60
1932;5.9;60
1912;3.9;60
1924;5.9;60
1937;7.1;60
1939;5.5;58
1928;7.5;58
1923;5.9;58
1934;5.9;58
1900;7.1;58
1898;7.1;56
1899;7.1;56
1929;6.2;56
1927;7;56
1941;6.2;56
1858;5.9;56
1941;7;56
1908;3.9;56
1939;7.1;56
1911;7;56
1866;7.1;56
1815;7;56
1936;6.2;56
1919;4.7;56
1922;5.9;56
1908;7.1;56
1930;6.2;56
1902;5.9;54
1940;4.7;54
1875;5.9;54
1928;8.1;54
1905;7.1;54
1940;5.9;54
1936;5.2;54
1930;4.7;54
1922;21;54
1918;3.9;54
1938;4.7;54
1940;7.1;54
1940;7;54
1925;7.1;54
1939;6.2;54
1939;6.1;54
1933;7.5;54
1938;8;52
1834;4.7;52
1921;5.9;52
1936;5.5;52
1918;7.1;52
1923;7;52
1930;7;52
1929;7.5;52
1920;5.9;52
1903;7.1;52
1931;7.5;52
1934;7;52
1911;6.2;52
1888;5.9;50
1898;5.9;50
1940;5.2;50
1904;7.1;50
1927;7.5;50
1894;7.1;50
1926;5.9;50
1901;5.9;50
1896;7.1;50
1939;7;50
1917;5.9;50
1814;7.1;50
1907;3.9;50
1933;7;50
1898;3.9;50
1938;5.2;50
1940;3.9;50
1941;8;48
1915;7.1;48
1938;6.2;48
1941;4.7;48
1919;5.9;48
1932;6.2;48
1879;4.7;48
1928;4.7;48
1934;5.5;48
1916;3.9;48
1903;4.7;48
1891;5.9;48
1934;7.5;48
1938;5.5;48
1934;4.7;48
1924;7;48
1937;7.5;48
1924;8.1;48
1925;8;46
1939;8;46
1936;10.2;46
1902;7.1;46
1880;5.9;46
1903;5.9;46
1937;5.5;46
1921;5.5;46
1906;7.1;46
1835;4.7;46
1906;4.7;46
1868;4.7;46
1930;7.5;46
1937;4.7;46
1911;5.9;46
1914;7.1;46
1941;10.2;46
1896;5.9;46
1894;5.9;46
1901;7.1;46
1921;7;46
1936;7.1;46
1931;8.1;46
1931;7.1;46
1892;7.1;46
1928;5.5;46
1864;5.9;46
1911;11.9;46
1938;5.9;46
1928;6.2;46
1916;5.9;44
1884;5.9;44
1904;3.9;44
1865;7.1;44
1916;4.7;44
1884;3.9;44
1864;7.1;44
1919;5.5;44
1940;5.5;44
1865;4.7;44
1895;7.1;44
1921;6.9;44
1928;7.3;44
1939;10.2;44
1931;6.9;44
1933;4.7;44
1935;6.2;44
1813;5.9;44
1896;7;44
1935;5.5;44
1920;4.7;44
1917;6.2;44
1815;4.7;44
1837;5.9;44
1884;7.1;44
1933;10.2;44
1910;3.9;42
1840;5.9;42
1926;7.5;42
1889;5.9;42
1930;8.1;42
1937;11.9;42
1907;4.7;42
1929;6.9;42
1893;4.7;42
1941;5.2;42
1892;4.7;42
1941;11.9;42
1909;4.7;42
1926;5.5;42
1923;5.5;42
1929;8.5;42
1825;4.7;42
1929;11.9;42
1885;7.1;42
1866;5.9;42
1911;7.1;42
1918;5.9;42
1901;7;42
1936;7;42
1936;7.5;42
1920;6.2;42
1909;7.5;42
1823;5.3;42
1939;9.8;42
1936;6.9;42
1899;5.9;42
1879;3.9;42
1924;7.5;42
1930;6.9;42
1922;3.9;42
1862;7;40
1903;3.9;40
1856;7.1;40
1941;8.1;40
1882;7.5;40
1938;9.8;40
1923;4.7;40
1911;4.7;40
1914;5.9;40
1913;6.2;40
1924;6.5;40
1890;5.9;40
1937;5.9;40
1933;5.2;40
1922;6.5;40
1916;6.2;40
